no.,Shipment Invoice No.,HVDC CODE,HVDC CODE 1,HVDC CODE 2,HVDC CODE 3,HVDC CODE 4,HVDC CODE 5,Site,EQ No,Case No.,Pkg,Storage,Description,L(CM),W(CM),H(CM),CBM,N.W(kgs),G.W(kgs),Stack,stack status,HS Code,Currency,Price,Vessel,COE,POL,POD,ETD/ATD,ETA/ATA,DHL Warehouse,DSV Indoor,DSV Al Markaz,DSV Outdoor,Hauler Indoor,DSV MZP,MOSB,Shifting,MIR,SHU,DAS,AGI,Status_WAREHOUSE,Status_SITE,Status_Current,Status_Location_Temp,Status_Location,Status_Location_DSV Indoor_DSV Al Markaz,Status_Location_DSV Al Markaz,Status_Location_DSV Indoor,Status_Location_Date,Status_Location_Date_Year,Status_Location_Date_Month,Status_Storage,wh_handling_legacy,site handling,total handling,minus,final handling,SQM,stack status2,Status_Location_YearMonth,Vendor,Source_File,AAA Storage,No.,Local,SERIAL NO.,PO. No,Bill of Lading,DSV MZD,JDN MZD,Stack_Status,site_handling_original,total_handling_original,wh_handling_original,FLOW_CODE,FLOW_DESCRIPTION,Final_Location,입고일자
1.0,PRL-DAS-002-O Lot1,HVDC-ADOPT-HE-0001,HVDC,ADOPT,HE,1,,DAS,EQ-001,207721,1,Outdoor covered,Bottom Shield,426.0,231.0,255.0,25.09353,400.0,1144.0,Stackable x1,1.0,85044083,SEK,433859,MSC China,Sweden,Gothenburg,Khalifa port,2023-12-01,2024-01-11,,,,2024-01-19,,,,,,,2025-05-13,,1.0,1.0,site,DAS,DAS,,,,2025-05-13,2025.0,5.0,site,1,1,2,0,2,9.8406,1.0,2025-05-01,HITACHI,HITACHI(HE),,,,,,,,,,1,2,1,2,Port → WH → Site,DAS,
2.0,PRL-DAS-002-O Lot1,HVDC-ADOPT-HE-0001,HVDC,ADOPT,HE,1,,DAS,EQ-001,207722,1,Outdoor covered,Bottom Shield,426.0,231.0,255.0,25.09353,400.0,1144.0,Stackable x1,1.0,85044083,SEK,433859,MSC China,Sweden,Gothenburg,Khalifa port,2023-12-01,2024-01-11,,,,2024-01-19,,,,,,,2025-05-13,,1.0,1.0,site,DAS,DAS,,,,2025-05-13,2025.0,5.0,site,1,1,2,0,2,9.8406,1.0,2025-05-01,HITACHI,HITACHI(HE),,,,,,,,,,1,2,1,2,Port → WH → Site,DAS,
3.0,PRL-DAS-002-O Lot1,HVDC-ADOPT-HE-0001,HVDC,ADOPT,HE,1,,DAS,EQ-001,207723,1,Outdoor covered,Bottom Shield,426.0,231.0,255.0,25.09353,400.0,1144.0,Stackable x1,1.0,85044083,SEK,433859,MSC China,Sweden,Gothenburg,Khalifa port,2023-12-01,2024-01-11,,,,2024-01-19,,,,,,,2025-05-13,,1.0,1.0,site,DAS,DAS,,,,2025-05-13,2025.0,5.0,site,1,1,2,0,2,9.8406,1.0,2025-05-01,HITACHI,HITACHI(HE),,,,,,,,,,1,2,1,2,Port → WH → Site,DAS,
4.0,PRL-DAS-002-O Lot1,HVDC-ADOPT-HE-0001,HVDC,ADOPT,HE,1,,DAS,EQ-001,207724,1,Outdoor covered,Bottom Shield,426.0,231.0,255.0,25.09353,400.0,1144.0,Stackable x1,1.0,85044083,SEK,433859,MSC China,Sweden,Gothenburg,Khalifa port,2023-12-01,2024-01-11,,,,2024-01-19,,,,,,,2025-05-13,,1.0,1.0,site,DAS,DAS,,,,2025-05-13,2025.0,5.0,site,1,1,2,0,2,9.8406,1.0,2025-05-01,HITACHI,HITACHI(HE),,,,,,,,,,1,2,1,2,Port → WH → Site,DAS,
5.0,PRL-DAS-002-O Lot1,HVDC-ADOPT-HE-0001,HVDC,ADOPT,HE,1,,DAS,EQ-001,207725,1,Outdoor covered,Bottom Shield,426.0,231.0,255.0,25.09353,400.0,1144.0,Stackable x1,1.0,85044083,SEK,433859,MSC China,Sweden,Gothenburg,Khalifa port,2023-12-01,2024-01-11,,,,2024-01-19,,,,,,,2025-05-13,,1.0,1.0,site,DAS,DAS,,,,2025-05-13,2025.0,5.0,site,1,1,2,0,2,9.8406,1.0,2025-05-01,HITACHI,HITACHI(HE),,,,,,,,,,1,2,1,2,Port → WH → Site,DAS,
6.0,PRL-DAS-002-O Lot1,HVDC-ADOPT-HE-0001,HVDC,ADOPT,HE,1,,DAS,EQ-001,207726,1,Outdoor covered,Bottom Shield,426.0,231.0,255.0,25.09353,400.0,1144.0,Stackable x1,1.0,85044083,SEK,433859,MSC China,Sweden,Gothenburg,Khalifa port,2023-12-01,2024-01-11,,,,2024-01-19,,,,,,,2025-05-13,,1.0,1.0,site,DAS,DAS,,,,2025-05-13,2025.0,5.0,site,1,1,2,0,2,9.8406,1.0,2025-05-01,HITACHI,HITACHI(HE),,,,,,,,,,1,2,1,2,Port → WH → Site,DAS,
7.0,PRL-DAS-002-O Lot1,HVDC-ADOPT-HE-0001,HVDC,ADOPT,HE,1,,DAS,EQ-001,207727,1,Outdoor covered,Bottom Shield,426.0,231.0,255.0,25.09353,400.0,1144.0,Stackable x1,1.0,85044083,SEK,433859,MSC China,Sweden,Gothenburg,Khalifa port,2023-12-01,2024-01-11,,,,2024-01-19,,,,,,,2025-05-13,,1.0,1.0,site,DAS,DAS,,,,2025-05-13,2025.0,5.0,site,1,1,2,0,2,9.8406,1.0,2025-05-01,HITACHI,HITACHI(HE),,,,,,,,,,1,2,1,2,Port → WH → Site,DAS,
8.0,PRL-DAS-002-O Lot1,HVDC-ADOPT-HE-0001,HVDC,ADOPT,HE,1,,DAS,EQ-001,207728,1,Outdoor covered,Bottom Shield,426.0,231.0,255.0,25.09353,400.0,1144.0,Stackable x1,1.0,85044083,SEK,433859,MSC China,Sweden,Gothenburg,Khalifa port,2023-12-01,2024-01-11,,,,2024-01-19,,,,,,,2025-05-13,,1.0,1.0,site,DAS,DAS,,,,2025-05-13,2025.0,5.0,site,1,1,2,0,2,9.8406,1.0,2025-05-01,HITACHI,HITACHI(HE),,,,,,,,,,1,2,1,2,Port → WH → Site,DAS,
9.0,PRL-DAS-002-O Lot1,HVDC-ADOPT-HE-0001,HVDC,ADOPT,HE,1,,DAS,EQ-001,207729,1,Outdoor covered,Bottom Shield,426.0,231.0,255.0,25.09353,400.0,1144.0,Stackable x1,1.0,85044083,SEK,433859,MSC China,Sweden,Gothenburg,Khalifa port,2023-12-01,2024-01-11,,,,2024-01-19,,,,,,,2025-05-13,,1.0,1.0,site,DAS,DAS,,,,2025-05-13,2025.0,5.0,site,1,1,2,0,2,9.8406,1.0,2025-05-01,HITACHI,HITACHI(HE),,,,,,,,,,1,2,1,2,Port → WH → Site,DAS,
10.0,PRL-DAS-002-O Lot1,HVDC-ADOPT-HE-0001,HVDC,ADOPT,HE,1,,DAS,EQ-001,207730,1,Outdoor covered,Bottom Shield,426.0,231.0,255.0,25.09353,400.0,1144.0,Stackable x1,1.0,85044083,SEK,433859,MSC China,Sweden,Gothenburg,Khalifa port,2023-12-01,2024-01-11,,,,2024-01-19,,,,,,,2025-05-13,,1.0,1.0,site,DAS,DAS,,,,2025-05-13,2025.0,5.0,site,1,1,2,0,2,9.8406,1.0,2025-05-01,HITACHI,HITACHI(HE),,,,,,,,,,1,2,1,2,Port → WH → Site,DAS,
