no.,Shipment Invoice No.,HVDC CODE,HVDC CODE 1,HVDC CODE 2,HVDC CODE 3,HVDC CODE 4,HVDC CODE 5,Site,EQ No,Case No.,Pkg,Storage,Description,L(CM),W(CM),H(CM),CBM,N.W(kgs),G.W(kgs),Stack,stack status,HS Code,Currency,Price,Vessel,COE,POL,POD,ETD/ATD,ETA/ATA,DHL Warehouse,DSV Indoor,DSV Al Markaz,DSV Outdoor,Hauler Indoor,DSV MZP,MOSB,Shifting,MIR,SHU,DAS,AGI,Status_WAREHOUSE,Status_SITE,Status_Current,Status_Location_Temp,Status_Location,Status_Location_DSV Indoor_DSV Al Markaz,Status_Location_DSV Al Markaz,Status_Location_DSV Indoor,Status_Location_Date,Status_Location_Date_Year,Status_Location_Date_Month,Status_Storage,wh_handling_legacy,site handling,total handling,minus,final handling,SQM,stack status2,Status_Location_YearMonth,Vendor,Source_File,AAA Storage,No.,Local,SERIAL NO.,PO. No,Bill of Lading,DSV MZD,JDN MZD,Stack_Status,site_handling_original,total_handling_original,wh_handling_original,FLOW_CODE,FLOW_DESCRIPTION,Final_Location,입고일자
,,HVDC-ADOPT-SIM-0001,HVDC,ADOPT,SIM,1,,ALL,,,28,Outdoor,LV Cable,,,,55.22,20389.0,26633.0,1,,8544 4999,EUR,235427.4,Eugen Maersk,BELGIUM,Antwerp,Khalifa port,2024-02-09,2024-03-14,,,,,,,,,2024-04-18,2024-03-28,2024-04-04,2024-04-04,,1.0,site,,MIR,,,,2024-04-18,2024.0,4.0,site,0,1,1,1,2,0.0,,2024-04-01,SIMENSE,SIMENSE(SIM),,1.0,,,SCT-19LT-PRC-PO-005,MEDUAX400529,,,1.0,1,1,0,1,Port → Site,MIR,2024-03-28
,,HVDC-ADOPT-SIM-0002,HVDC,ADOPT,SIM,2,,SHU,,,1,Outdoor,"SURGE-ARRESTER-UNIT, BOTTOM",300.0,160.0,90.0,4.32,567.0,867.0,1,,8535 4000,EUR,11775,HORSBURGH Maersk,Germany,Hamburg,Khalifa port,2024-05-04,2024-06-10,,,,,,,,,,2024-06-24,,,,1.0,site,,SHU,,,,2024-06-24,2024.0,6.0,site,0,1,1,1,2,4.8,,2024-06-01,SIMENSE,SIMENSE(SIM),,2.0,,SIEFA0044602823001,SCT-19LT-PRC-PO-004,STRA59754,,,1.0,1,1,0,1,Port → Site,SHU,2024-06-24
,,HVDC-ADOPT-SIM-0002,HVDC,ADOPT,SIM,2,,SHU,,,1,Outdoor,"SURGE-ARRESTER-UNIT, UPPER",300.0,160.0,90.0,4.32,486.0,786.0,1,,8535 4000,EUR,11775,HORSBURGH Maersk,Germany,Hamburg,Khalifa port,2024-05-04,2024-06-10,,,,,,,,,,2024-06-24,,,,1.0,site,,SHU,,,,2024-06-24,2024.0,6.0,site,0,1,1,1,2,4.8,,2024-06-01,SIMENSE,SIMENSE(SIM),,3.0,,SIEFA0044602823002,SCT-19LT-PRC-PO-004,STRA59754,,,1.0,1,1,0,1,Port → Site,SHU,2024-06-24
,,HVDC-ADOPT-SIM-0002,HVDC,ADOPT,SIM,2,,MIR,,,1,Outdoor,"SURGE-ARRESTER-UNIT, BOTTOM",300.0,160.0,90.0,4.32,605.0,905.0,1,,8535 4000,EUR,11775,HORSBURGH Maersk,Germany,Hamburg,Khalifa port,2024-05-04,2024-06-10,,,,,,,,,2024-06-24,,,,,1.0,site,,MIR,,,,2024-06-24,2024.0,6.0,site,0,1,1,1,2,4.8,,2024-06-01,SIMENSE,SIMENSE(SIM),,4.0,,SIEFA0044602823003,SCT-19LT-PRC-PO-004,STRA59754,,,1.0,1,1,0,1,Port → Site,MIR,
,,HVDC-ADOPT-SIM-0002,HVDC,ADOPT,SIM,2,,MIR,,,1,Outdoor,"SURGE-ARRESTER-UNIT, UPPER",300.0,160.0,90.0,4.32,502.0,802.0,1,,8535 4000,EUR,11775,HORSBURGH Maersk,Germany,Hamburg,Khalifa port,2024-05-04,2024-06-10,,,,,,,,,2024-06-24,,,,,1.0,site,,MIR,,,,2024-06-24,2024.0,6.0,site,0,1,1,1,2,4.8,,2024-06-01,SIMENSE,SIMENSE(SIM),,5.0,,SIEFA0044602823004,SCT-19LT-PRC-PO-004,STRA59754,,,1.0,1,1,0,1,Port → Site,MIR,
,,HVDC-ADOPT-SIM-0002,HVDC,ADOPT,SIM,2,,SHU,,,1,Outdoor,"SURGE-ARRESTER-UNIT, BOTTOM",300.0,160.0,90.0,4.32,571.0,871.0,1,,8535 4000,EUR,11775,HORSBURGH Maersk,Germany,Hamburg,Khalifa port,2024-05-04,2024-06-10,,,,,,,,,,2024-06-24,,,,1.0,site,,SHU,,,,2024-06-24,2024.0,6.0,site,0,1,1,1,2,4.8,,2024-06-01,SIMENSE,SIMENSE(SIM),,6.0,,SIEFA0044602823005,SCT-19LT-PRC-PO-004,STRA59754,,,1.0,1,1,0,1,Port → Site,SHU,2024-06-24
,,HVDC-ADOPT-SIM-0002,HVDC,ADOPT,SIM,2,,SHU,,,1,Outdoor,"SURGE-ARRESTER-UNIT, UPPER",300.0,160.0,90.0,4.32,501.0,801.0,1,,8535 4000,EUR,11775,HORSBURGH Maersk,Germany,Hamburg,Khalifa port,2024-05-04,2024-06-10,,,,,,,,,,2024-06-24,,,,1.0,site,,SHU,,,,2024-06-24,2024.0,6.0,site,0,1,1,1,2,4.8,,2024-06-01,SIMENSE,SIMENSE(SIM),,7.0,,SIEFA0044602823006,SCT-19LT-PRC-PO-004,STRA59754,,,1.0,1,1,0,1,Port → Site,SHU,2024-06-24
,,HVDC-ADOPT-SIM-0002,HVDC,ADOPT,SIM,2,,MIR,,,1,Outdoor,"SURGE-ARRESTER-UNIT, BOTTOM",300.0,160.0,90.0,4.32,570.0,870.0,1,,8535 4000,EUR,11775,HORSBURGH Maersk,Germany,Hamburg,Khalifa port,2024-05-04,2024-06-10,,,,,,,,,2024-06-24,,,,,1.0,site,,MIR,,,,2024-06-24,2024.0,6.0,site,0,1,1,1,2,4.8,,2024-06-01,SIMENSE,SIMENSE(SIM),,8.0,,SIEFA0044602823007,SCT-19LT-PRC-PO-004,STRA59754,,,1.0,1,1,0,1,Port → Site,MIR,
,,HVDC-ADOPT-SIM-0002,HVDC,ADOPT,SIM,2,,MIR,,,1,Outdoor,"SURGE-ARRESTER-UNIT, UPPER",300.0,160.0,90.0,4.32,523.0,823.0,1,,8535 4000,EUR,11775,HORSBURGH Maersk,Germany,Hamburg,Khalifa port,2024-05-04,2024-06-10,,,,,,,,,2024-06-24,,,,,1.0,site,,MIR,,,,2024-06-24,2024.0,6.0,site,0,1,1,1,2,4.8,,2024-06-01,SIMENSE,SIMENSE(SIM),,9.0,,SIEFA0044602823008,SCT-19LT-PRC-PO-004,STRA59754,,,1.0,1,1,0,1,Port → Site,MIR,
,,HVDC-ADOPT-SIM-0003,HVDC,ADOPT,SIM,3,,DAS,,,1,Outdoor,GIS Wall Opening Sealing Covers,130.0,100.0,90.0,1.17,,,1,,,,,Land Transport,UAE,Vendor Shop,MOSB,2024-04-18,2024-04-18,,,,,,,,,,,2024-05-24,,,1.0,site,,DAS,,,,2024-05-24,2024.0,5.0,site,0,1,1,1,2,1.3,,2024-05-01,SIMENSE,SIMENSE(SIM),,10.0,UAE,,4510188107,Local,,,1.0,1,1,0,1,Port → Site,DAS,
